text,domain
While viewing a website that contained a scrolling marquee,firefox
[AltSS] Alternate stylesheet should setting be applied for the whole site,firefox
"Anchors with ""?click"" in them do not display.",firefox
Handling for case where file type mapping in default handlers list does not resolve,firefox
Pressing back button in rapid succession does not go back far enough,firefox
New Tab seems not to work from menu,firefox
Remove nonexistent browser/components Makefiles from allmakefiles.sh,firefox
General ICON incorrectly highlighted in Tools->Options,firefox
Preferences behind icon doesnt work,firefox
location bar desynchronizes when closing tabs quickly,firefox
Filling in forms fails - servers don't recognize current context.,firefox
favicon duplicated to bookmark without a favicon defined,firefox
All Bookmarks and menu changes but not passwords crashed after shutdowning PC by cutting power off,firefox
Add Bookmark window does not close automatically with mouse-click in OK box or Return,firefox
Scrollbar appears only as grey bar,firefox
Double-clicking on scoll arrow in options : downloads : file types acts like double-clicking on an item,firefox
"Grouped tab in task bar shows ""Next Generation browser for Microsoft Windows.""",firefox
Request: all downloads complete enhancements,firefox
"Add ""Copy web location"" to download manager context menus",firefox
Expand button on Personal Toolbar bookmarks occasionally freezes & steals keyboard focus,firefox
Hardcoded Firebird string in phrase: downloadsRemoveExit.label,firefox
UI for option to show download manager for small files that don't take long to download,firefox
Disable View->Toolbars->Customize... menu item if no window is open,firefox
firebird freezes opening given URL.,firefox
Bookmarks Toolbar Folder regenerates,firefox
Firebird doesn't dereference shorcuts in File Save as Dialog,firefox
"mozilla-xremote-client ""mailto()"" returns failure",firefox
Need Ability to Disable JavaScript Pop-Up Windows,firefox
"building without crypto fails with missing ""nsIPK11TokenDB.h"" and ""nsIPK11Token.h"" files",firefox
"rightclick and delete an bookmark from the personal toolbar results in ""ASSERTION: no document"" in debug build",firefox
up keys go in wrong order in download dialog,firefox
Address bar auto-complete only works sometimes,firefox
"search field switches back to "" Find in this page"" after restarting Firebird",firefox
Java applet on background tab is viewable on frontmost tab,firefox
URL of current tab incorrectly changed when Alt+Enter opens new tab from location bar,firefox
Mouseover makes vertical line to the left of image.,firefox
OK button doesn't work in preferences,firefox
There is General icon always highlighted after opening the Prefernces window,firefox
"The text in the second column under the heading ""Last Post"" does not wordwrap and overlaps onto the third column entitled ""Threads"".",firefox
Invalid URL,firefox
Crash whenever I go to osnews.com,firefox
password autocomplete information,firefox
slow scrolling causes row of pixels to disappear from text,firefox
Pref to disable animated images,firefox
Ctrl+Tab doesn't work in failed (gray,firefox
"Need ""Java Console"" in tools menu",firefox
locale\en-US\global\build.dtd contains newline after build ID,firefox
Unable to Minimize With About Box Open,firefox
Floating bookmarks window (or maybe fine-tuned Bookmarks Manager)...,firefox
"New ""Add Bookmarks"" window grows in size each time arrow button is hit",firefox
Interactive tutorial in about: tutorial,firefox
drop-down listbox in Add Bookmark does not expand nor get focus,firefox
http:// does not render,firefox
bookmarks deleted,firefox
"Tools menu has two seperators under ""Downloads""",firefox
If I try to print this page,firefox
Hide 'Print Preview' menu item in Mac OS X,firefox
"Incorrect ""1 download will be canceled"" warning on exit after opening PDF",firefox
CSS generated content breaks form submission,firefox
about:plugins gives no information,firefox
OK button in the new add bookmark dialog doesn't work until you select a folder,firefox
make the new add bookmarks dialog resizable,firefox
crash on loading page,firefox
Any windows opened by a modal window inherit the modal state,firefox
referrer is not generated for inline images,firefox
loads second part of given url instead of first part,firefox
Toolbar Google search for empty string results in garbage characters,firefox
"firebird password manager shows the save this password"" button unchecked when showing a prefilled password prompt",firefox
Re-prompting for uninstalled plug-ins is annoying,firefox
"doesnt do anything after downloading theme with ""use this theme"" checkbox open",firefox
Add Bookmark Dialog Issues,firefox
Bookmark Mouse over inccorrect after dragging onto itself,firefox
window open Observer close,firefox
Add Bookmark: Move the 'bookmarkTree' in the menulist,firefox
"help"" menu in the menu bar should be ""?",firefox
Add Bookmark dialog should be shown as a sheet on Mac OS X,firefox
Broken context menu 'edit' on HTML files,firefox
Passwords are kept in base 64 and with 664 permissions,firefox
Copy alt text,firefox
URL with unescape character will spoof the status bar but not the address bar,firefox
changes in page setup,firefox
Provide install instructions on Firebird download page,firefox
Graphical inconsistencies on secondary monitor,firefox
Mozilla Firebird 0.7+ crashes when I try to open http://,firefox
tear off a tab to make a window,firefox
Wrong rendering of the page,firefox
Downloading creates a directory with the same name as downloaded file,firefox
Password Manager asks twice if I want to store the password,firefox
huge signons.txt file when the &#65533; character is used,firefox
Add bookmark expander should have a tooltip,firefox
Bookmarks schedule won't work,firefox
Add import to Password Manager,firefox
Create password manager ala Bookmark Manager,firefox
Create cookie manager ala Bookmark Manager,firefox
download to a samba share partition mount as an home subdirectory crashes firebird,firefox
Inconsistant status bar contents over multiple frames,firefox
copy in multiple steps from one tab body to another tab's url bar blanks out,firefox
tab focus problems in http basic auth dialog,firefox
When any sidebar is active,firefox
Vulnerability in the Mozilla Firebird,firefox
Vulnerability in the Mozilla Firebird 0.7,firefox
Install folder picker should default to the default installation directory,firefox
Functionalities in the Mozilla Firebird 0.8,firefox
installer creates html file context menu to editor which doesn't exist in firebird,firefox
an element must be focused to allow mousewheel scrolling,firefox
This URL is opened in sidebar when clicked from bookmarks,firefox
autoscroll-icon not always on top,firefox
Cannot backup certificate,firefox
All about: (config,firefox
High ascii chars can't be entered under any locale,firefox
extended bookmark drop-down menu (>>) fails to drop down after altering the URL in it,firefox
"""small icons"" setting for toolbar doesn't stick in fullscreen mode",firefox
fbird v0.7 crashes with SYS3178 divide-by-zero exception when accessing URL.,firefox
download automatically creates a folder wth the same file name as the download,firefox
"firebird crashes when rightclicking and clicking ""save link to disk""",firefox
Autoscroll-icon is visible in the dom,firefox
Progress bar too thick in download manager,firefox
search doesn't work in textbox / text box / textarea,firefox
The indicator that tells you when pages are fully loaded displayed as busy for longer than the page took to load.,firefox
cursor behavior does not match other Mac OS X applications(up and down arrows in single-line text-entry fields),firefox
default theme not visible in Themes section of Options panel.,firefox
"General tab has ""mousovered"" looks when opening Options",firefox
Send page image Link does not use default mailer,firefox
changing png file association causes firebird to prompt for default browser,firefox
scrollbar missing,firefox
scrolling status bar text still appears after changing tabs to other website,firefox
After opening many tabs (around ten) Firebird has difficulty refreshing and displaying the proper content.,firefox
External ICQ client will crash when Firebird or Thunderbird stay open,firefox
Clicking with middle mouse button seems to start a google search,firefox
bookmark failed to open,firefox
unused variables in about:config,firefox
mldonkey download page doesn't load,firefox
Combination of a:hover,firefox
Crash with long line length in <textarea>,firefox
Mozilla Firebird Crashes on Deleting Item from Bookmarks Toolbar Folder and Arrow Key Press,firefox
"Please add ""Print"" function to right-click context menu",firefox
Download is going eternal in comparision to IE 6.1,firefox
Crash with Sun JVM 1.4.2_03,firefox
Show URLs in History,firefox
Scroll bar in Dec 14th nightly build doesn't appear.,firefox
crash if I save an image from a web site,firefox
postscript docs converted to pdf docs don't print,firefox
add bookmark menu broken only allows user to create bookmark in sub menus,firefox
Firebird registers itself as an HTML editor in the system,firefox
"Highlight and expand last accessed folder in tree view of ""Add Bookmark"" dialog",firefox
"Tree View in ""Add Bookmark"" dialog is too small.",firefox
"Add Toolbars to the tree view in the ""Add Bookmark"" dialog",firefox
browser crash if i try to download the picture,firefox
print iframe content from body fails ( javascript),firefox
Links randomely cause zombie thread which must be killed with Task Manager,firefox
download.com causes browser to crash,firefox
All menus are inaccessible when I start a download and close all windows other than the download window,firefox
mozilla-xremote-client implementation,firefox
margins too wide in context menus,firefox
mac icon needs updating (or need new mac icon),firefox
Javascript onload or window.open() not working,firefox
Crash on startup in 20031214+ (due to previously installed extensions?),firefox
download reports failure when complete,firefox
OK button shouldn't be always on the right on Windows,firefox
crash while attempting to save an image...,firefox
Missing accesskeys in Tools->Options->Extensions dialog,firefox
Installer deleted unrelated folders,firefox
""">>"" button in bookmark toolbar stuck",firefox
Multiple tabs open when a pipe delimited querystring is opened via other software (mail,firefox
Browser crash when trying to load URL,firefox
Download Manager should close on CTRL+Y / ESC,firefox
OK button on alert boxes should not be right-aligned,firefox
Would like a way to freeze a window even when supportDDEExec is true,firefox
freezes if i hold alt and scroll mouse wheel,firefox
Firebird crashes when trying to save PDF file on the disk,firefox
need to create a new profile if you close all mozilla window but remain the download one,firefox
The apple home page (as of 12/17 does not render with Firebird 0.7,firefox
ctrl-enter on address toolbar should remove trailing blankspace,firefox
dragging text to top of viewport does not scroll,firefox
suddenly firebirds stops refreshing the screen,firefox
Crash when opening a file in a directory where there is a file with accent in it,firefox
not able to close top window after opening under <menu:help the link:copyright and contributor information'.,firefox
not able to close main window after opening another firebird (sub-) window.,firefox
Next-Gen Installer lacks objdir build support,firefox
Next-Gen Installer requires ActivePerl,firefox
crashed in PL_DHashTableRawRemove on exiting browser,firefox
Firebird loses proxy settings on restart,firefox
bottom half of Page Info disappears when resized to make bottom tree box height of 0,firefox
Installer created 4 Icons on desktop & can't type in the path,firefox
jpeg is blank when viewed in firebird,firefox
"Selecting ""print preview"" in the menu crashes the browser",firefox
Print Preview doesn't recount pages on scale,firefox
Import wizard does not appear,firefox
Crash on F11,firefox
[Bookmarks Sidebar] Quick search fails to find non-ASCII,firefox
'Block animated images from site X' menu option,firefox
Select boxes using the multiple attribute do not display css background color.,firefox
Store icons in bookmarks.html,firefox
poor scrolling performance,firefox
favicon on site requiring authentication causes annoying prompt on startup,firefox
The fix for the bad code checked in for bug 132517 is missing from the 0.8 branch,firefox
when i get to the page to login,firefox
Pasting bookmark in menupopups insert a separator,firefox
Loading tabs in the background does not download CSS background-image until the tab gains focus,firefox
"The ""Show Download Manager..."" preference is reset after closing and relaunching firebird",firefox
download manager window pops up when downloading themes even though preference is set for it not to open,firefox
JavaScript getYear() function returns 103 instead of 2003,firefox
"""Get New Extensions"" link broken in Options when accessed from Download Manager",firefox
Support per-site java permissions,firefox
"""open in tabs"" broken",firefox
Search engine defaults to no search engine upon restart,firefox
add a delay when opening a submenu in the bookmarks,firefox
font size doesn't stick,firefox
Default download folder is ignored. You are asked where to save.,firefox
history dropdown and dropmarker missing in url bar,firefox
"Firebird ""Save Image As"" crashes",firefox
Firefox gets wrong desktop folder for downloading,firefox
Bookmarks are written to disk only on application exit,firefox
XPInstall - crash after installing two extensions without restart,firefox
"XPInstall - ""Installation complete / restart"" message always shown",firefox
odd resize behaviour in 'Add to bookmarks' dialog,firefox
latest-0.8: failing to render html properly (sometimes),firefox
cannot change preferences after removing mozilla and phoenix directories,firefox
top right corner of menu bar displays 1 to the left of browser edge,firefox
cannot resolve DNS after being open for days,firefox
about:config doesn't save,firefox
URL Spoofing Vulnerability,firefox
Keyboard shortcut Control-Q no longer quits the Firebird program,firefox
Firefox should not show themes in Download Manager when completed,firefox
Error launching browser window when Thunderbird 0.4 is running,firefox
OK-Button doesn't work,firefox
Print Preview Toolbar is shown no matter sucessful or not,firefox
Cannot access some functions and some components are noit displayed,firefox
start menu links to 'readme' and 'license' don't work,firefox
If I have no window open and select a bookmark from the pull-down bookmark menu,firefox
ctrl-k no longer focuses search bar in Firebird nightlies,firefox
Progress-meter is not updated while copying components to disk,firefox
Scrollbar customization,firefox
Stuck on opening old urls in tabs,firefox
url isn't filled in in the adressbox when you are not connected,firefox
Clicking Download notification does not show Download Manager,firefox
misleading message whether download completed successfully or aborted prematurely,firefox
file saved in network share not made sharable over network (WinXP home) because file isn't Closed,firefox
Firebird renders H tags 1-2 sizes too small,firefox
Installer should not set Default Browser,firefox
Cannot build Firebird 0.8 = breaking in nsAccessibilityService.cpp,firefox
Location bar history drop-down has disappeared,firefox
Download manager exit after file(s) finished downloading,firefox
shift-tab is broken inside search-bar,firefox
The application 'Gecko' lost its connection to the display :0.0;,firefox
Deleting of downloaded file fails,firefox
when attempting to set td styles from javascript some styles do nothing,firefox
Where has the F-wing icon gone? Missing in latest trunk and 0.8 branch,firefox
"advanced tab: ""certificates"" and ""validation"" do not expand when clicked for first time",firefox
Default action for XPI should be Open,firefox
page not displayed correctly and scrollbar missing until window resized,firefox
unable to authenticate to MS Exchange via MS Outlook Web Access,firefox
Plug-in list is empty,firefox
Cannot disable Flash Plugin (plugin disabling only works for full page plugins,firefox
CTRL+L behavior broken in FB (not Moz 1.5),firefox
Pull pre 0.8 Firebird builds from ftp servers,firefox
"Default action for bookmarks in bookmark manager should be ""open properties""",firefox
[RFE] Dragging folders from bookmark manager to browser should open in tabs,firefox
Add ability to hide bookmark manager status bar,firefox
Mac OS X: Use sidebar for download manager,firefox
Bad forward on localhost when port specified,firefox
Pause button in the download manager makes download unrecoverable,firefox
Bookmarks menu fails to collapse if bookmark is middle clicked,firefox
Ad square does not display and cannot be closed.,firefox
Middle click to open URL in new tab fails when TITLE is included in anchor href,firefox
Crash if I reload a page generated from a post request with a file upload,firefox
Mozilla Firebird cant start even though it worked fine the first two times.,firefox
FB attempts to open a window in the download manager,firefox
Managing bookmarks all folders disappeared,firefox
CTRL-clicking between Google sections doesn't create new tab,firefox
MathML fonts (TrueType and Type 1) not recognized on FreeBSD,firefox
Crash in Full screen,firefox
Irrelevant error message pop-up whenever textarea is clicked,firefox
FB crashes if I try to save a graphic using right click..,firefox
firebird crashes when I click on the privacy button in preference window,firefox
Icons inconsistent and ugly with Windows XP Service Pack 2 beta,firefox
User actions during a download cause crash,firefox
Auto / Smart Update for new releases,firefox
"New windows address is ""about:blank"" if not properly loaded",firefox
page info tabs move around,firefox
Java-enabled online banking website: JavaScript error window popup preventing logon.,firefox
Auto-resize Element Properties window to show longest line completely,firefox
about:config makes Firebird hang,firefox
JAVA Applet,firefox
"""Error: Null Entry Created"" when cllosing browser by clicking on X icon in top right.",firefox
Background images are not shown in Media tab (Page Info),firefox
Bookmarks should have option to avoid cache,firefox
prompt window for identification appears when the cursor is over a determined kind of Bookmarks,firefox
Remove Bookmark Manager Status Bar,firefox
submit button should be able to open tabs,firefox
"Add ""Are you sure?"" to cookie clear option in preferences.",firefox
can't change auto-detect options in view->character encoding in view source,firefox
Auto-Detect in source viewer doesn't work,firefox
url bar does not update when opening a new tab,firefox
Can't open another window by clicking link until a page is fully loaded,firefox
"Crash if page contains <embed type=""audio",firefox
When change to tabbed browser,firefox
'Web Search For' won't work with selection within javascript popup windows,firefox
View-source not working on IDNa domains,firefox
portion of drop down menu does not display where it overlaps the menu below it.,firefox
html URL (html:a) in <description> tags do not work correctly,firefox
all flash movies show black border at the top and the left,firefox
Windows spawned from download manager are closed when all downloads complete,firefox
"Save all files to this folder"" doesn't apply to ""Save Image as...",firefox
Firebird crashes while dowloading the document,firefox
Search toolbar regularly forgets selected search engine,firefox
doesn't prompt to download zip file - 'rubbish' index.html is displayed instead,firefox
URL w/ IP address (instead of hostname) -> download of .aspx page,firefox
we need a icon to identify flexible space and space in toolbarpalette,firefox
save page as ... - saved html page without extention and dir _files without name,firefox
hottopic.com and suprnova.org do not display at all,firefox
crash when using libjavaplugin_oji.so with java AND javascript enabled,firefox
Installing 2 extensions without restarting re-launches extension-installer for previous installed extensions,firefox
the content was not displayed completlly,firefox
Installer creates wrong registry key,firefox
Tabs are not opening with the middle-click (with the wheel) with Wireless IntelliMouse Explorer 2.0,firefox
"Firebird should have a ""autocomplete best match as you type"" option",firefox
Lost advanced local folder view in 0.8-20031228,firefox
theme background not available,firefox
Firebird-Task in Taskmanager but no firebird visible -> no more packets going out / coming in,firefox
Use distinct file extensions for pre-processed content,firefox
Unattended install asks for installation folder.,firefox
the browser displays the source html data including the http header instead of parsing the html code,firefox
Conflict with WindowsXpgtk themes,firefox
Firebird crash when i try to open this page,firefox
spinbuttons.xml is iso-8859-1 not utf-8,firefox
Images in Firebird Help not correct,firefox
crash if i tried to open a 8 mb big xml file,firefox
"Cannot view ""saved passwords"" entries - dialog does not appear",firefox
If username field is prefilled by page to a value that matches a stored signon,firefox
"Remove ""Create in"" from Add Bookmark dialog",firefox
Use mozilla.org links for internal links and default bookmarks,firefox
Poor rendering of a Web page.,firefox
Switching Firebird to full screen mode on secondary monitor hides start bar on primary monitor,firefox
Change cursor for resized images to include arrow,firefox
Ability to move tab bar near to taskbar (eg. bottom of the browser),firefox
Enhanced options dialoges,firefox
The colgroup align attribute has no effect.,firefox
Hotmail public computer checkbox broken,firefox
CSS Errors in Firefox skins,firefox
MOZILLAFIREBIRD caused an invalid page fault in,firefox
page not displayed in firebird,firefox
Acronym doesn't show tooltip in the sidebar,firefox
Crashes when webpage requests sound and soundcard is playing something else and does not support mixing,firefox
Browser crashes after two or three seconds while loading an iframe (www.alternate.de),firefox
Crash whilst loading Remote Xul example on bugzilla [@ nsJAR::ParseManifest ],firefox
Naming convention for firebird nightlies in UAs,firefox
"Sending wrong link when clicked on ""Send link"" at Yahoo! News.",firefox
Firebird should not automatically search for valid urls when you enter a one-unic-word URL,firefox
cant set focus on address-bar by F6 when displaying a flash file,firefox
NOSCRIPT text rendered on separate line,firefox
"bgproperties=""fixed"" does not work",firefox
Helper Application auto select.,firefox
Google search of keywords typed in the addressbar is broken,firefox
typing single word in URL bar causes freeze,firefox
typing incomplete address disables stop button,firefox
I have no tabs in latest builds of fb 0.7,firefox
wrong keyboard shortcut for Page Info in help,firefox
crash when I right-click->'save link to disk' on the the download link,firefox
general.autoScroll pref disappeared in recent nightlies,firefox
Crashing when using the keyboard context menu key in a text input field,firefox
Open URL as default browser (e.g. links in Thunderbird email) loads top window,firefox
Priority queuing in download window,firefox
HTTP_ACCEPT_LANGUAGE set to en-us when Windows in UK,firefox
Sometimes when browsing,firefox
"link toolbar do not support mailto protocol for rel=""author""",firefox
complete lock with max cpu when using single word in location bar,firefox
when opening new download manager in window,firefox
Definition lists do not display properly on pages.,firefox
no context menus,firefox
CSS Error progressmeter Unknown property,firefox
Clearing cache in Firefox doesn't cause the site icon to reflect changes,firefox
Bookmark menu doesn't close after middle-mouse clicking,firefox
keywords for sidebar bookmarks open in main window,firefox
navigation buttons stop working after using for some time. (using smooth scrolling),firefox
Pseudo Element first letters is being ignored,firefox
Profile completely overwritten including passwords and bookmarks,firefox
make binary name lowercase on *nix platforms,firefox
use system path to find helper app executables,firefox
action for file types can't use options. (like xmms --enqueue),firefox
Available interfaces on installer builds differ from those on zip builds.,firefox
Slow closing,firefox
Flash never works,firefox
Double redirect does not work.,firefox
External CSS not honored if MIME type 'text,firefox
After I have removed all the bookmark in the toolbar which under the URL,firefox
-p option prevents Firefox from running,firefox
when having tabs and multiple pages open,firefox
special character in a a tags href link when making a link to an email is not parsed right to the mail client.,firefox
browser thinks that Flash object are in old position after scrolling down,firefox
Enable browser.xul.error_pages.enabled by default,firefox
PAC: Error: LocalFindProxyForURL is not a function,firefox
mousewheel does not scroll boxes only the main body scrollbar,firefox
Need a way to open a Sun Java Console on Firefox,firefox
FEATURE REQUEST: Refresh all browser tabs.,firefox
DNS: lookups in Firebird will not use locally defined hostnames (i.e. ones defined in netinfo or /etc when there is no internet connection available,firefox
Exits with status 0 or 1 if .phoenix directory is inaccessible,firefox
preprocessor.pl not executed correctly in /toolkit/mozapps/downloads on BeOS,firefox
firebird displays _grey_ td-html element instead of black,firefox
"There should be a ""always on top"" option...",firefox
re-authentication with proxy / repeated password prompts,firefox
Find in This Page should autocomplete entries like the search bar does,firefox
Crash when using cheaptickets.com calendar tool.,firefox
Firebird form Autocomplete is broken,firefox
Popups (such as errors) take middle-mouse-scroll control away,firefox
clicking on page in dual/secondary monitor head in vertical configuration causes abnormal scroll,firefox
Auto refresh feature not available,firefox
SetVariable (flash scripting) is not working,firefox
High CPU usage and failed page render,firefox
Find in This Page does not work correctly if search string contains the ' character,firefox
Double-click a folder in bookmarks menu should open in tabs,firefox
Firebird still uses java 1.3.1 plugins Should use 1.4.1,firefox
Properties dialog box appears unexpectedly when inserting bookmark separator,firefox
Trunk Firebird shows xul error in chrome://content/browser,firefox
"Should be able to turn off javasript handling of ""right click"" in advanced javascript options",firefox
"cannot create folder in ""Bookmarks Toolbar"" using context menu",firefox
Focus not in address bar after opening new Tab by DoubleClick,firefox
Saves Webobjects-page as file without ending,firefox
Mouse wheel doesn't work in Options | Advanced page,firefox
empty space at top of page appears instead of content,firefox
Opening Bookmark with middle click opens tab in front,firefox
Implement New Folder function on Add Bookmark dialog,firefox
Typing Ctrl+K while focus is in address bar does not move focus to search bar,firefox
Right-Clicking In Bookmarks Toolbar Submenu Causes Bookmarks Toolbar To Freeze,firefox
Typing Ctrl+K while focus is in adress bar does move focus to search bar,firefox
"Can we keep ""navigator.vendor"" a constant value",firefox
Autocomplete only works on the first tab,firefox
incomplete downloads with no warning,firefox
"links 'href=""about:something"" do not work",firefox
"Options dialog can't be closed with OK button after opening ""Cookies | Exceptions""",firefox
"Add Bookmark dialog: ""Create in"" combo box should have special ""Show All Folders"" entry",firefox
browserwindow:TypeError: Components.classes error launching Firebird if Thunderbird is running,firefox
ftp.gimp.org hangs Firebird at 100% CPU,firefox
100% CPU and hang at sequent.org,firefox
DOM Inspector: Behavior does not match document - Inspect A Window,firefox
link in statusbar indication for finishing all downloads doesn't work,firefox
Page not rendered properly,firefox
add session cookie permissions to Exceptions window,firefox
Persist state of folders list (tree view) in Add Bookmark dialog,firefox
file:///// URL behaves differently with middle mouse button,firefox
smooth scrolling inside iframe is not smooth,firefox
becomes slow when opening a second window,firefox
"main menu name ""Mozilla Firebird"" takes up too much real estate; rename only ""Firebird""",firefox
chrome.rdf inside the profile will not be reconstructed after deleting it manually,firefox
Since reinstalling Mozilla 1.5,firefox
"Firebird don't start when ""browser-region"" in chrome.rdf is missing",firefox
Crash if Home or close tab is hit from this URL,firefox
crash when editing input boxes with left cursor keys,firefox
Firebird Not Properly Setup as the Default Browser on Windows XP,firefox
Save all files to this folder doesn't work,firefox
Save As dialog switches Save and Cancel buttons,firefox
javascript focus() can steal focus from address bar,firefox
Freezes if `net.inet.tcp.blackhole' is greater than zero,firefox
menus do not display correctly in multi screen environment if firebird is not on primary screen,firefox
Form-submit security warning should not remember decision if cancelled,firefox
Missing reload within view source window,firefox
"Autocomplete Form-Entries should be deletable with the keyboards ""del"" button",firefox
address bar does not update with page,firefox
Cannot edit in a phpwiki with Firefox,firefox
request for tab close box and new tab button,firefox
form submission does not work correctly,firefox
A FIREBIRD_0_8_BRANCH tag is required for PSM_CO_TAG of client.mk.,firefox
macromedia swf-Plug-In causes crash,firefox
option to not create desktop icons and to specify location of start menu folders,firefox
Daily builds at http://ftp.mozilla.org/pub/mozilla.org/firebird/nightly is broken.,firefox
Unable to search the contents of pages in the history,firefox
Arrow keys and pageup inoperative after loading page in background,firefox
Any time I print the current browser window,firefox
Bug when a significant amount of tabbed windows are opened (like 20),firefox
New download should flash taskbar icon 2 times if download window is open,firefox
In frameset,firefox
border-collapse: collapse creates hidden lines in page,firefox
Download complete window does not disappear,firefox
Incorrect browser window closed using back button with Microsoft Internet Keyboard Pro,firefox
Sidebar (Bookmarks) disappears after doing print preview,firefox
Invalid Menu State when R. Click is used on menu items.,firefox
If IE favorite are accidentially deleted how to manually re-import,firefox
Running Print Preview with no printer installed adds PP toolbar in browser,firefox
"clicking the OK button multiple times in the ""What should Mozilla Firebird do with this file?"" dialog opens multiple broken file choosers",firefox
Customize Toolbar disappears after an item is dragged,firefox
Firebird will lose the entered URL when switching between windows,firefox
Ctrl-Q should quit the application,firefox
display wrong (negative filesize on downloading large files),firefox
Usability of Basic Authentication dialog when using tabbed browsing,firefox
Firebird crashes if Thunderbird is trying to fetch a pgp key and a new tab is created into firebird,firefox
Can't clear cache,firefox
Can't remove or cancel downloads,firefox
Middle-click on bookmark in menu does not close menu,firefox
-moz-opacity makes things invisible on OS X 10.2,firefox
Magnifier cursor is not updated just after clicking,firefox
multiple operating system processes are not supported,firefox
deep crash when displaying file (includes mathml),firefox
URL autocompletion even when full URL specified,firefox
Tab-cycling shortcuts don't work on Loading tabs,firefox
password gets saved wrong,firefox
Unrequested Popups created on pages with redirects don't show notification,firefox
Firebird should have sane defaults for set as default default browser,firefox
Firefox should have sane defaults for set as default browser,firefox
"""Set Default Browser"" creates backup registry entries",firefox
right clicking .xpi (installed extentions) files in Download Manager has empty menu,firefox
Random crashes while using Hotmail,firefox
xul popup causes crash,firefox
"Turning on ""Remember passwords"" breaks some webforms",firefox
compare 'add bookmark' feature with IE and netscape (when u have several sub folders) and u can see that the organization in firebird becomes unusable,firefox
Multi-tabbed windows should confirm close,firefox
Add a file type by hand,firefox
Can't remove finished downloads.,firefox
Password is not being stored at all.,firefox
With the windows color scheme selected to high contrast black tools->options->privacy highlighted is unreadable,firefox
click on address bar autocomplete drop-down opens URI in new tab if enter was previously pressed on address bar,firefox
cannot remove stored (empty) password,firefox
open tree view button in Add Bookmark dialog at a bad location,firefox
Add Bookmark dialog moves to original location when tree expanded,firefox
download manager poorly renames existing files by incrementing number suffix,firefox
Privacy Options Reorganization,firefox
Middle button starts scrolling instead of opening new tab,firefox
Browser should only accept changes to the statusbar from the active tab,firefox
Print button should be similar to 0.4 Thunderbird print button (with drop down including print preview),firefox
Link does not open as should,firefox
Possibility to open or close sidebar with shortcut F9,firefox
"sending accept ""video but we don't",firefox
"document.from.boxes is a ""HTMLInputElement"" not a ""NodeList"" for checkbox groupings",firefox
myIpAddress() function in .pac files is unreliable,firefox
Radio buttons broken on Software License Agreement,firefox
window that pops up when moving bookmarks keeps getting larger.,firefox
NS_GetSpecialDirectory rv isn't checked in nsDownloadsDataSource::LoadDataSource,firefox
Bookmarks menu missing submenu arrows,firefox
scroll wheel won't work over menu or content columns,firefox
present global history as a tree to accommodate tabbed-browsing habits,firefox
split view of a tab,firefox
middle-click in a valid,firefox
single-click in URL bar doesn't copy URL in X's clipboard,firefox
Prune firebird default preferences,firefox
Display seriously garbled when using page up dn,firefox
Activity indicator magnifying glass doesn't link to Firebird homepage,firefox
using the scroll wheel to open a link in a new tab doesnt work if a page's content type is application + XML,firefox
RFE: Print to PDF ala OO.org,firefox
remove identical prefs from all.js,firefox
Download finished alert pop-up should re-open Download Manager window when clicked,firefox
firebird works much slower if running several days,firefox
Incorrectly displayed separator on Bookmark Manager,firefox
magnifying on the page to be enlarged text with percentage,firefox
add home keyboard shortcut (Command-Shift-H?),firefox
Open new tab instead of new window,firefox
Keyboard Shortcuts Not Working,firefox
No UI implementation for changing image.animation_mode,firefox
leak on starting and exiting Firebird,firefox
all browser instances freeze permanently on slow and loaded connection,firefox
Font used on Page info page isn't consistent,firefox
mouse wheel doesn't scroll when top scroll button is off screen,firefox
crash if displaying a lot of non-printable characters,firefox
Open download directory using a filer program?,firefox
Recent builds crash at Wikipedia's main page,firefox
link on popup alert from download completion does nothing,firefox
Middle-click / middlemouse prefs in linux set to false [not set to true],firefox
When toolbar is hidden all open tabs are hidden,firefox
bookmark sidebar opens the URL by dbclick instead of clicking once,firefox
I can't import my RSS feed subscriptions from OPML file.,firefox
Menu shortcuts should be invoked by command-<key>,firefox
"download manager doesn't show downloaded filesize after 1MB if the filesize is ""unknown""",firefox
Update MozillaFirebird.exe Windows version strings to 0.8,firefox
Downloading file with no name deletes the download directory,firefox
Alt+D no longer selects all text in Location Bar -- it moves cursor to the end of the text there,firefox
Uninstall Extensions,firefox
removing cookie exception does not take effect until firebird restart,firefox
Control used instead of command,firefox
Tab URL does not persist on bad links if tabs switched,firefox
dragging a bookmark causes endless scrolling,firefox
vertical scroll bar components missing,firefox
themes will not install or show up in theme list in preference pane,firefox
autodownload should be enhanced to more automatical,firefox
autodownload do not work when clicking one download link.,firefox
javascript document.lastModified yields current date and time for local files,firefox
Ctrl + B -> Alt + S should focus the quichsearch textbox,firefox
current URL in address bar not replaced after dragging new link into it,firefox
Lose search engines in search box on top right on restart,firefox
copy and paste prefs set to false,firefox
Opening Options from Download Manager defaults to General tab if General is last selected,firefox
"CSS does not load when clicking on ""Back"" or ""Refresh"" button",firefox
save ssl server certificate,firefox
power to implement splash screen on startup through extension system,firefox
Firebird assumes location of user desktop,firefox
